0,1,2,3,4,5,6,7,8,9,10
fruit/vegetable juice,waffles,tropical fruit,domestic eggs,liquor (appetizer),dessert,,,,,
canned beer,brown bread,napkins,,,,,,,,
root vegetables,chocolate,,,,,,,,,
coffee,napkins,,,,,,,,,
hygiene articles,grapes,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
liver loaf,fruit/vegetable juice,,,,,,,,,
berries,sausage,tropical fruit,butter,,,,,,,
whole milk,frozen vegetables,soda,,,,,,,,
frankfurter,whole milk,,,,,,,,,
frozen meals,dessert,,,,,,,,,
butter,soda,,,,,,,,,
Instant food products,coffee,,,,,,,,,
grapes,whole milk,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
mustard,sugar,baking powder,,,,,,,,
frozen vegetables,pastry,,,,,,,,,
whole milk,pork,rolls/buns,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
oil,chocolate,,,,,,,,,
beef,long life bakery product,,,,,,,,,
chicken,whole milk,,,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
hard cheese,soda,,,,,,,,,
whole milk,frozen dessert,,,,,,,,,
domestic eggs,other vegetables,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
misc. beverages,pastry,,,,,,,,,
pastry,whole milk,,,,,,,,,
curd,long life bakery product,,,,,,,,,
frozen fish,bottled beer,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
onions,bottled water,sliced cheese,,,,,,,,
cat food,soda,,,,,,,,,
bottled water,shopping bags,bottled water,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
yogurt,detergent,,,,,,,,,
beverages,fruit/vegetable juice,,,,,,,,,
root vegetables,yogurt,tropical fruit,shopping bags,,,,,,,
sausage,sliced cheese,,,,,,,,,
curd,whole milk,,,,,,,,,
hard cheese,coffee,,,,,,,,,
shopping bags,margarine,,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
ice cream,meat spreads,,,,,,,,,
other vegetables,frozen fish,,,,,,,,,
margarine,margarine,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
coffee,whole milk,,,,,,,,,
newspapers,misc. beverages,,,,,,,,,
seasonal products,pickled vegetables,,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
pastry,bottled beer,,,,,,,,,
